Antonym,Derived word,ex_japa,example,japanese,level,No,part of speech,Synonym,word,unique id
around,"throughout, throughput",私たちは公園を通り抜けた。,We walked through the park.,〜を通って,2,30,前置詞,"via, by way of",through,1752129506817x465216046805777540
"before, until","since then, ever since",彼女には去年以来会っていません。,I haven't seen her since last year.,〜以来,2,31,前置詞,"after, from",since,1752129506822x495150265989527500
"because, since, as, while",,雨が降っていたけれども、私は外出することにした。,"Although it was raining, I decided to go out.",〜だけれども,3,37,接続詞,"though, even though, despite, notwithstanding",although,1752129506823x298103682147135000
later,,私は彼に2日前に会った。,I met him two days ago.,〜前に,1,32,副詞,"before, earlier, previously",ago,1752129506823x562503662501057340
,,あなたが行かなければ、私も行きません。,I won't go unless you go too.,〜でない限り,9,39,接続詞,except if,unless,1752129506823x626793311740583700
yes,,私は学生ではありません。,I am not a student.,〜ではない,1,40,否定詞,never,not,1752129506823x650329680412223000
need not,"must-have, must-read",ビデオゲームをする前に宿題を終えなければなりません。,You must finish your homework before playing video games.,〜しなければならない,1,35,助動詞,have to,must,1752129506823x725535475577561600
,,彼女は私が仕事中に電話をかけてきた。,She called me while I was at work.,〜する間に,2,36,接続詞,during,while,1752129506823x751297300192847400
"will not, wouldn't","would-be, would've, wouldn't",いつか日本を訪れてみたいだ。,I would like to visit Japan someday.,〜だろう,2,38,助動詞,"might, could, should",would,1752129506823x767444493023490300
,"per-capita, per-day, per-hour",その車は1時間にガソリン5リットルを消費する。,The car consumes five liters of gas per hour.,〜ごとに,7,34,前置詞,"each, every, by",per,1752129506823x949629854593694600
"and, also, moreover",,彼が来るかどうか私には分かりません。,I don't know whether he will come or not.,〜かどうか,9,33,接続詞,if,whether,1752129506823x982399354566772600
"with, containing, including",,私は音楽なしでは生きていけません。,I can't live without music.,〜なしで,2,42,前置詞,"lacking, devoid of, bereft of",without,1752129507380x362913609024696700
without,,私は友人と公園に行きた。,I went to the park with my friend.,〜と一緒に,1,41,前置詞,"along with, together with",with,1752129507380x444002923532601540
against,,私はあなたのためにギフトを買った。,I bought a gift for you.,〜のために、〜の間に,1,44,前置詞,"in favor of, in place of",for,1752129507380x638259686857312900
because of,"despiteful, despitefully",雨にも関わらず、私たちはハイキングに行くことに決めた。,"Despite the rain, we decided to go hiking.",〜にも関わらず,4,43,前置詞,in spite of,despite,1752129507380x684437335691848400
"above, over",,猫はベッドの下に隠れている。,The cat is hiding beneath the bed.,〜の下に,9,47,前置詞,"under, below, underneath",beneath,1752129507380x821554193005258500
"over, above",underneath,猫がベッドの下に隠れている。,The cat is hiding under the bed.,〜の下に,1,46,前置詞,"beneath, below, underneath",under,1752129507380x839779780408335400
,"seemingly, unseemly",あなたは今日疲れているように見える。,You seem tired today.,〜のように見える,2,45,動詞,"appear, look, sound",seem,1752129507380x928722748463539700
under,,本はテーブルの上にある。,The book is on the table.,〜の上に,1,50,前置詞,upon,on,1752129507381x453106512280687000
"outside, beyond",during,私は普通、夏の間に本を読む。,I usually read books during the summer.,〜の間に、〜の間,2,48,前置詞,"throughout, in the course of",during,1752129507381x547488977584476000
,,私のペンを本の中に見つけた。,I found my pen amongst my books.,〜の間に、〜の中に,9,49,前置詞,among,amongst,1752129507381x578465495381071100
"lose, give","getter, getting",私は新しい車を手に入れる必要がある。,I need to get a new car.,〜を得る、取る,1,58,動詞,"obtain, acquire",get,1752129507383x257251939002113280
"out, outside",,私は部屋の中にいる。,I am in the room.,〜の中に,1,53,前置詞,"inside, within",in,1752129507383x305728857415966000
since,,私が戻るまでここで待っててください。,Wait here until I return.,~まで,1,55,"前置詞, 接続詞","till, up to",until,1752129507383x324523661978218800
,,この本は他の本よりも面白い。,This book is more interesting than the other one.,〜より,1,56,前置詞,"compared to, rather than, over",than,1752129507383x325738409699807940
"under, below",,彼女は本をテーブルの上に置いた。,She put the book upon the table.,〜の上に,4,51,前置詞,"on, over, above",upon,1752129507383x380399878349835900
"off, from",,彼女は屋根に登った。,She climbed onto the roof.,〜の上に,1,52,前置詞,"on to, upon",onto,1752129507383x645026964828986100
including,"exception, exceptive",リンゴを除いてすべての果物が好きだ。,I like all fruits except apples.,〜を除いて,2,57,前置詞,"excluding, barring, omitting",except,1752129507383x745437472426725400
"out of, from, away from",,彼女は部屋に入っていった。,She walked into the room.,〜の中へ,1,54,前置詞,"inside, within, to",into,1752129507383x828784376060870000
,,私は公園経由でオフィスに行く予定だ。,I will go to the office via the park.,〜経由で,3,60,前置詞,"through, by way of",via,1752129507384x218517920065207870
"outside, beyond, without, out of",withinness,私は一週間以内に仕事を終える。,I will finish the work within a week.,〜以内に,2,59,前置詞,"inside, in, into, during",within,1752129507384x351700501994478800
april,,私のお気に入りの休日、ハロウィンは10月にある。,"My favorite holiday, Halloween, is in October.",10月,1,62,名詞,,october,1752129507385x269779936505829300
,,11月になると寒くなる。,It gets colder in November.,11月,1,65,名詞,,november,1752129507385x389452241794993000
,decadal,彼は同じ会社で10年間働いていた。,He worked for the same company for a decade.,10年間,4,64,名詞,ten years,decade,1752129507385x504592905893396860
"adult, elder","teenage, teen",彼はエネルギーと夢に満ちた10代の若者だ。,"He is a teenager, full of energy and dreams.",10代の若者,3,63,名詞,"adolescent, youth",teenager,1752129507385x822030006826908700
,"billionaire, billionth",その会社は10億ドルの利益を上げた。,The company made a billion dollars in profit.,10億,4,61,名詞,milliard,billion,1752129507385x916807725171008900
"whole, entirety","quarterly, quartered",ピザの4分の1を食べた。,I ate a quarter of the pizza.,4分の1,4,70,名詞,"fourth, segment",quarter,1752129507386x252536591753485630
,,桜は4月に咲く。,The cherry blossoms bloom in April.,4月,1,69,名詞,,april,1752129507386x324726200292251100
august,,2月は一年で最も短い月だ。,February is the shortest month of the year.,2月,1,68,名詞,,february,1752129507386x417122952709762600
,,クリスマスは12月だ。,Christmas is in December.,12月,1,66,名詞,,december,1752129507386x430473154725689300
july,,私は1月に生まれた。,I was born in January.,1月,1,67,名詞,,january,1752129507386x956511732826899100
,"identical, identification",彼女は自身のアイデンティティに悩んだ。,She struggled with her identity.,"アイデンティティ, 自己同一性",7,73,名詞,"individuality, self, character",identity,1752129507389x383097771585933200
,"accounts, accounted, accounting",私は地元の銀行に口座を持っている。,I have an account at the local bank.,アカウント,2,75,名詞,"record, report, description",account,1752129507389x524532242346478200
january,,7月は一年で最も暑い月だ。,July is the hottest month of the year.,7月,1,72,名詞,,july,1752129507389x562860454412569700
"avoid, retreat",daring,私は既存の状況に挑戦する勇気がある。,I dare to challenge the status quo.,あえて〜する,4,74,動詞,"venture, risk, brave",dare,1752129507389x723095809621745900
"denial, refusal, prohibition","accessible, accessibility, inaccessible",アカウントにアクセスするにはパスワードが必要だ。,You need a password to access your account.,アクセス,4,76,名詞,"entry, admittance, approach",access,1752129507389x803093368259695200
,,私の誕生日は6月だ。,My birthday is in June.,6月,1,71,名詞,,june,1752129507389x976898147125629400
,"advise, advisory",彼は大統領のアドバイザーだ。,He is an adviser to the president.,"アドバイザー, 助言者",4,78,名詞,"counselor, consultant, mentor",adviser,1752129507390x557941406371190100
"house, villa",apartmental,彼らは市内の小さなアパートに住んでいる。,They live in a small apartment in the city.,アパート，マンション,2,80,名詞,"flat, unit",apartment,1752129507390x580210555526021800
,,あなたは私の親友だ。,You are my best friend.,あなた,1,79,代名詞,,you,1752129507390x946261466046045000
,"accented, accenting",彼はフランス語のアクセントで英語を話す。,He speaks English with a French accent.,アクセント,3,77,名詞,emphasis,accent,1752129507390x992123197734657400
"insufficiently, inadequately","too much, too many",この本は私には難しすぎる。,This book is too difficult for me.,あまりにも、とても,1,81,副詞,"excessively, overly, extremely",too,1752129507842x339345976268750100
,amino acid,アミノ酸は私たちの体にとって必要不可欠だ。,Amino acids are essential for our body.,アミノ,9,82,形容詞,,amino,1752129507843x102561563144054620
"likely, probable",unlikeliness,彼が時間通りに到着することはありそうもない。,It seems unlikely that he will arrive on time.,ありそうもない,7,83,"形容詞, 副詞","improbable, dubious",unlikely,1752129507843x113749422832492220
"single, individual track",,彼女は去年、デビューアルバムをリリースした。,She released her debut album last year.,アルバム,2,87,名詞,"record, CD, collection",album,1752129507843x154962275531341570
,,アルミ缶はよくリサイクルされる。,Aluminum cans are commonly recycled.,アルミニウム,2,88,名詞,,aluminum,1752129507843x203157380309294080
"non-alcoholic, water, juice","alcoholic, alcoholism, alcoholics",アルコールの過度の摂取は健康に有害だ。,Excessive consumption of alcohol is harmful to health.,アルコール,3,85,名詞,"liquor, spirits, booze",alcohol,1752129507843x363033513726856600
,"being, been",すぐにそこに行く。,I will be there soon.,ある,1,84,動詞,"exist, occur",be,1752129507843x592143006989284400
,"algorithmic, algorithmically",そのコンピュータプログラムは、データを整列させるための強力なアルゴリズムを使用している。,The computer program uses a powerful algorithm to sort the data.,アルゴリズム,9,86,名詞,"procedure, process",algorithm,1752129507843x701271351891689700
"yes, all, every","none, nothing",それを避ける方法はありません。,There is no way to avoid it.,いいえ、ない,1,90,副詞,"none, zero, not any",no,1752129507844x606761631833200800
,questionnaire-based,このアンケートにご記入ください。,Please fill out this questionnaire.,アンケート,3,89,名詞,"survey, form",questionnaire,1752129507844x835184904934298100
,"whenever, whensoever",あなたの誕生日はいつだか？,When is your birthday?,いつ,1,95,副詞,,when,1752129507847x113297048165154960
,"anybody, anything",彼には友達が一人もいません。,He doesn't have any friends.,いずれの、どんな,1,94,"形容詞, 副詞",some,any,1752129507847x128812089534615200
,"ionization, ionic",イオンは電荷を持つ原子または分子だ。,An ion is an atom or molecule with a net electric charge.,イオン,9,91,名詞,,ion,1752129507847x205366854009286340
"none, all","somehow, somewhat, someone",私はニューヨークにいくつかの友人がいる。,I have some friends in New York.,いくつかの,1,92,形容詞,"few, several, certain",some,1752129507847x518505626803510200
never,,いつかコーヒーを飲みに行こう。,We should meet for coffee sometime.,いつか,1,96,副詞,"eventually, one day",sometime,1752129507847x706295196532670700
"single, one",severally,彼はその主題についていくつかの本を持っている。,He has several books on the subject.,いくつかの,4,93,形容詞,"various, multiple, numerous",several,1752129507847x733241325062016400
,,私のいとこはニューヨークに住んでいる。,My cousin lives in New York.,いとこ,1,100,名詞,,cousin,1752129507848x133738463489657680
never,"everlasting, forever",あなたはそれをいつ終わらせるつもりだか？,Are you ever going to finish that?,いつでも,1,97,副詞,"always, anytime",ever,1752129507848x295382962708864200
,,助けが必要な時はいつでも私に電話してください。,You can call me whenever you need help.,いつでも,2,98,接続詞,"anytime, at any time",whenever,1752129507848x303935968606680500
,ideological,彼のイデオロギーは社会的平等に基づいている。,His ideology is based on social equality.,イデオロギー,9,99,名詞,"belief, doctrine, philosophy",ideology,1752129507848x892603383780030000
,"eventful, eventless",そのイベントは来月行われる。,The event will take place next month.,イベント,2,101,名詞,"happening, occasion, affair",event,1752129507854x682626449236762200
,"illustrate, illustrator",その本はカラフルなイラストがいっぱいだ。,The book is full of colorful illustrations.,イラスト、例示,5,102,名詞,"picture, drawing, example",illustration,1752129507854x756190661953953800
,interfacing,2つのプログラム間のインターフェイスはあまりユーザーフレンドリーではありません。,The interface between the two programs is not very user-friendly.,インターフェイス,7,103,名詞,"connection, interaction, junction",interface,1752129507854x844375099750191500
deflation,"inflate, inflated",政府はインフレーションを制御しようとしている。,The government is trying to control inflation.,インフレーション,7,106,名詞,"rise in prices, devaluation",inflation,1752129507855x319461402943653300
,viral,ウイルスは世界中に急速に広がった。,The virus spread rapidly across the globe.,ウイルス,4,107,名詞,pathogen,virus,1752129507855x370358818567829060
"happiness, joy, elation","depress, depressive, depressingly",多くの人が助けを求めずにうつ病に苦しんでいる。,Many people suffer from depression without seeking help.,うつ病,6,110,名詞,"sadness, melancholy, despair",depression,1752129507855x422509549179347300
,"website, webmaster",私はその情報をウェブで検索した。,I searched the information on the web.,ウェブ,2,108,名詞,"internet, net",web,1752129507855x446876345845499200
interviewee,interview,インタビュアーは私がなぜその仕事を望んでいるのか尋ねた。,The interviewer asked me why I wanted the job.,インタビュアー,4,104,名詞,"questioner, interrogator",interviewer,1752129507855x839704252451312800
,web,詳細は私たちのウェブサイトをご覧ください。,Check our website for more details.,ウェブサイト,2,109,名詞,"web page, site",website,1752129507855x897265051074262100
"mile, yard","inches, inching",その画面は幅が12インチある。,The screen is twelve inches wide.,インチ,3,105,名詞,"bit, small amount",inch,1752129507855x991270178517498000
"poorly, badly","nice, niceness",植物たちは庭でうまく育っている。,The plants are growing nicely in the garden.,うまく、きちんと,2,111,副詞,"well, properly",nicely,1752129507861x126999190561228430
"lethargy, weakness","energetic, energize",私たちはエネルギーを節約する必要がある。,We need to save energy.,エネルギー,3,117,名詞,"power, vitality",energy,1752129507861x197083278388604500
"quiet, silent","noise, noisiness",工事現場はとてもうるさい。,The construction site is very noisy.,うるさい,2,112,形容詞,"loud, clamorous, boisterous",noisy,1752129507861x462948434186254200
"insufficient, lacking","extraneous, extraneously",私はそのプロジェクトを終わらせるためにいくつかの追加の時間を働きた。,I worked some extra hours to finish the project.,エクストラ,2,116,形容詞,"additional, surplus, spare",extra,1752129507861x634960993468333600
"no, nah",,うん、君の言うことは正しいと思うよ。,"Yeah, I think you're right.",うん,1,114,感動詞,"yes, yup",yeah,1752129507861x692404405271643400
,aerosolize,医師はエアゾルを使って患者の喘息を治療した。,The doctor used an aerosol to treat the patient's asthma.,エアゾル,9,115,名詞,"spray, mist",aerosol,1752129507861x802166512507706000
"sad, unhappy, disappointed",gladly,あなたが元気でいると聞いてとてもうれしい。,I'm very glad to hear that you're doing well.,うれしい,1,113,形容詞,"happy, pleased, delighted",glad,1752129507861x911555379329622500
,engineering,エンジニアが新しい橋を設計している。,The engineer is designing a new bridge.,エンジニア,5,120,名詞,"designer, technician, mechanic",engineer,1752129507862x576169681624609150
,,そのシリーズの各エピソードは異なるストーリーがある。,Each episode of the series has a different story.,エピソード、話,7,118,名詞,"incident, event",episode,1752129507862x716148037314178700
"whole, entirety","areal, areas",このエリアは美しい風景で知られている。,This area is known for its beautiful scenery.,エリア、地域,3,119,名詞,"region, zone, sector",area,1752129507862x741844442106755000
,"engineer, engineering",その車は強力なエンジンを持っている。,The car has a powerful engine.,エンジン,2,121,名詞,"motor, machine",engine,1752129508188x133405414757393310
,"operatic, opera house",昨夜、オペラに行きた。それは美しかった。,I went to the opera last night and it was beautiful.,オペラ,4,130,名詞,music drama,opera,1752129508189x112555412931256030
"boredom, monotony","entertain, entertaining",私はエンターテイメント業界で働いている。,I work in the entertainment industry.,エンターテイメント,4,122,名詞,"amusement, diversion",entertainment,1752129508189x135188705961200260
"exactly, precisely","rough, roughness",彼は月におおよそ3000ドル稼いでいる。,He earns roughly $3000 a month.,おおよそ、大まかに,5,124,副詞,"approximately, about, around",roughly,1752129508189x429586862007856450
"unlikely, doubtfully",probable,彼女はおそらくパーティーに来るだろう。,She will probably come to the party.,おそらく,4,126,副詞,"likely, possibly",probably,1752129508189x490243506625869700
"purchase, buy","auctioneer, auctioning",私はオークションでそれを買いた。,I bought it at an auction.,オークション,4,123,"名詞, 動詞","sale, bid",auction,1752129508189x527041855416130900
"niece, nephew",unclehood,私のおじはニューヨークに住んでいる。,My uncle lives in New York.,おじ,1,125,名詞,"relative, kin",uncle,1752129508189x540983483851517950
"niece, nephew",auntie,私のおばさんが私の誕生日のためにケーキを焼いた。,My aunt baked a cake for my birthday.,おばさん,1,128,名詞,relative,aunt,1752129508189x592825684224221400
"unlikely, improbably",presume,おそらく、会議は午後5時に終わるだろう。,"Presumably, the meeting will end at 5 pm.",おそらく,7,127,副詞,"probably, likely, presumably",presumably,1752129508189x674804253159881500
on,"offside, offset",彼女は仕事を一日休みた。,She took a day off from work.,オフ,1,129,副詞,"away, absent",off,1752129508189x718026584327381000
"offline, physical",online,彼はオンラインストアからその本を買った。,He bought the book from an online store.,オンラインの,3,133,形容詞,"internet, digital, virtual",online,1752129508191x194479843593489570
"debt, bills","moneyless, moneybag",私は旅行のためにお金を貯める必要がある。,I need to save money for my trip.,お金,1,135,名詞,"cash, currency, funds",money,1752129508191x499850813910501570
"copy, duplicate, imitation","originally, originality, originate",これはその歌のオリジナルバージョンだ。,This is the original version of the song.,オリジナルの,3,131,形容詞,"initial, primary, authentic",original,1752129508191x758595931158543200
"least favorite, disliked",favoritism,チョコレートは私のお気に入りのデザートだ。,Chocolate is my favorite dessert.,お気に入り,1,134,"名詞, 形容詞","preferred, beloved",favorite,1752129508191x779065988362138500
,,彼はオレンジの皮をむいた。,He peeled an orange.,オレンジ,1,132,"名詞, 形容詞",,orange,1752129508191x843776253608097700
"mom, mother",daddy,私のお父さんは医者だ。,My dad is a doctor.,お父さん,1,137,名詞,"father, papa, daddy",dad,1752129508192x133840071353429120
,"curtain rod, curtain rail",彼女は日光を遮るためにカーテンを引いた。,She drew the curtains to block the sunlight.,カーテン,1,139,名詞,"drape, blind",curtain,1752129508192x436422967019048260
"dad, father",mommy,私は明日、母と買い物に行く。,I will go shopping with my mom tomorrow.,お母さん,1,138,名詞,"mother, mum, mama",mom,1752129508192x487105119932093250
,"cardholder, cardstock",私は友人に誕生日カードを送りた。,I sent a birthday card to my friend.,カード,1,140,名詞,"cardboard, postcard, notecard",card,1752129508192x563336791116620300
,"teapot, teaspoon",私は朝にお茶を飲むのが好きだ。,I like to drink tea in the morning.,お茶,1,136,名詞,"brew, infusion",tea,1752129508192x723033309736003600
,"carpeting, carpeted",彼女はカーペットを掃除機で掃除した。,She vacuumed the carpet.,カーペット,1,141,名詞,"rug, mat",carpet,1752129508193x319705745099618560
follow,"guidance, guideline, guidebook",ツアーガイドが私たちを美術館を通って案内した。,The tour guide led us through the museum.,ガイド、案内する,2,142,"名詞, 動詞","lead, direct, steer",guide,1752129508193x873568029863932300
,categorize,彼女はその本を間違ったカテゴリに置いた。,She placed the book under the wrong category.,カテゴリ,2,150,名詞,"class, group, division",category,1752129508194x206006637381124670
,catalogue,カタログで完璧なドレスを見つけた。,I found the perfect dress in the catalog.,カタログ,3,147,名詞,"brochure, directory, list",catalog,1752129508194x294257488799445800
,"countertop, counterpoint",カウンターでお支払いください。,Please pay at the counter.,カウンター,2,144,名詞,"desk, checkout",counter,1752129508194x302786293697208120
,"guideline-based, guidelines",会社は従業員に対して明確なガイドラインを提供している。,The company provides clear guidelines for employees.,ガイドライン,5,143,名詞,"direction, protocol",guideline,1752129508194x332376820699163100
,gaseous,ガスストーブが正常に機能しなかったため、彼らは技術者を呼んだ。,"The gas stove wasn't working properly, so they called a technician.",ガス,3,146,名詞,"vapor, fume, steam",gas,1752129508194x390149231031531300
"settle, calm","stirrer, stirring",スープを出す前にかき混ぜてください。,Stir the soup before you serve it.,かき混ぜる、動揺させる,2,145,動詞,"mix, agitate, blend",stir,1752129508194x569508166571852200
,cupful,今朝、コーヒーを一杯飲みた。,I drank a cup of coffee this morning.,カップ,1,148,名詞,mug,cup,1752129508194x586094390867586400
single,"coupling, coupled",そのカップルは手をつないで歩いていた。,The couple walked hand in hand.,"カップル, 二つ",2,149,名詞,"pair, duo",couple,1752129508194x844168016132580600
may not,,明日は雨が降るかもしれません。,It may rain tomorrow.,かもしれない,1,156,助動詞,"might, could",may,1752129508197x311690896432834200
"slightly, a bit, a little",,今日はかなり寒い。,It's quite cold today.,かなり,4,151,副詞,"very, rather, fairly",quite,1752129508197x336719309940226800
"insignificant, minor","consider, consideration",かなりの進歩を遂げた。,We have made considerable progress.,かなりの,5,153,形容詞,"significant, substantial, great",considerable,1752129508197x538409151888496600
"unfairly, extremely",fairness,その試験はかなり難しかった。,The exam was fairly difficult.,かなり,5,152,副詞,"quite, rather, reasonably",fairly,1752129508197x556568826493047940
,"cameraman, camera-shy",彼は新しいカメラで写真を撮った。,He took a picture with his new camera.,カメラ,2,155,名詞,photographic equipment,camera,1752129508197x908238348227417700
"uncover, expose",coverage,料理中は鍋に蓋をしてください。,Please cover the pot while cooking.,カバー,2,154,"名詞, 動詞","protect, shield",cover,1752129508197x941337494718936800
must not,mighty,私はパーティーに遅れるかもしれない。,I might be late for the party.,かもしれない,2,157,助動詞,may,might,1752129508197x998463791248856000
plastic,"glassware, glassy",彼女はジュースをガラスに注いだ。,She poured the juice into a glass.,ガラス,1,159,名詞,"tumbler, goblet",glass,1752129508198x266422559000495840
,,バナナはカリウムの良い供給源だ。,Bananas are a good source of potassium.,カリウム,6,160,名詞,,potassium,1752129508198x527216913421038100
to,,私は日本から来た。,I am from Japan.,から,1,158,前置詞,"out of, since",from,1752129508198x825293587097825500
,curricular,その学校は科学の新しいカリキュラムを導入している。,The school is introducing a new curriculum for science.,カリキュラム、教育課程,3,161,名詞,"program, course, syllabus",curriculum,1752129508459x481139215008135300
"easily, comfortably, abundantly","bare, bareness",彼女は最低点でかろうじて試験に合格した。,She barely passed the exam with the minimum score.,かろうじて,5,163,副詞,"hardly, just, scarcely",barely,1752129508459x670084761547689200
,calcify,牛乳はカルシウムの良い供給源だ。,Milk is a good source of calcium.,カルシウム,3,162,名詞,,calcium,1752129508459x705377764827617400
"slap, hit","kisser, kissable",彼女は赤ちゃんの額にキスした。,She kissed her baby on the forehead.,キスする,1,168,"名詞, 動詞","peck, smooch",kiss,1752129508460x153978721672849420
drum,guitarist,彼はギターを弾いている。,He is playing the guitar.,ギター,1,169,名詞,string instrument,guitar,1752129508460x210462190468549960
,gear up,彼は車をギアに入れて出発した。,He put the car in gear and drove off.,ギア、歯車、装備,3,167,"名詞, 動詞","equipment, apparatus, machinery",gear,1752129508460x491504011972926140
"ugly, unattractive","prettiness, prettify",彼女はかわいらしい笑顔を持っている。/ その試験はかなり難しかった。,She has a pretty smile. / The exam was pretty difficult.,"かわいい, かなり",1,164,"形容詞, 副詞","beautiful, attractive / fairly, quite",pretty,1752129508460x607004108135921200
"messy, untidy, disordered","neatly, neatness",彼女は自分の机をとてもきちんと整理している。,She keeps her desk very neat.,きちんとした,2,170,形容詞,"tidy, clean, orderly",neat,1752129508460x641608075621175300
"honest, fair","cheater, cheating",テストでカンニングするのは間違っている。,It is wrong to cheat on a test.,カンニングする,1,166,動詞,"deceive, trick",cheat,1752129508460x783493709788492700
"health, well-being","cancerous, carcinoma",彼女は乳がんと闘っている。,She is battling breast cancer.,がん,4,165,名詞,"tumor, carcinoma",cancer,1752129508460x788625475509323100
unemployment,"careerist, career-oriented",彼女はビジネスで成功したキャリアを持っている。,She has a successful career in business.,キャリア、職業,3,171,名詞,"profession, vocation, job",career,1752129508461x629285784937045900
"modern, contemporary",classically,彼はクラシック音楽を聞くのが好きだ。,He loves listening to classical music.,クラシックの,3,179,形容詞,"traditional, conventional",classical,1752129508462x158342308480199360
,,大学のキャンパスは非常に広いだ。,The university campus is very large.,キャンパス,3,173,名詞,"grounds, premises, schoolyard",campus,1752129508462x248623615267899330
inactivity,"campaigner, campaigning",彼は大統領選のキャンペーン中だ。,He is on a campaign for president.,キャンペーン、選挙戦,3,175,"名詞, 動詞","drive, movement, push",campaign,1752129508462x413936144307265360
,sneezing,くしゃみをする時は、口を手で覆うべきだ。,"When you sneeze, you should cover your mouth.",くしゃみ,2,177,"名詞, 動詞",,sneeze,1752129508462x534363802734582500
"arrange, confirm","cancellation, cancellable",彼らはパンデミックのために休暇をキャンセルしなければならなかった。,They had to cancel their holiday due to the pandemic.,キャンセルする,2,172,動詞,"abort, call off, revoke",cancel,1752129508462x574072587445238800
bless,"damned, damning",それについては全く気にしていない。,I don't give a damn about it.,くそ,3,178,感動詞,"curse, darn",damn,1752129508462x668252211993063800
,"classmate, classwork",彼女は私の英語クラスにいる。,She is in my English class.,クラス,1,180,名詞,"course, group, category",class,1752129508462x789616155080201500
,,公園は私の家から2キロメートル離れている。,The park is two kilometers away from my house.,キロメートル,2,176,名詞,,kilometer,1752129508462x977051621119201500
